name,location,description,category,historical_period,latitude,longitude,keywords,tourism_season,avg_visit_time,popularity_level,fun_fact,source,pop_num,is_spring,is_summer,is_autumn,is_winter,era_group,region,multiverse_categories,visit_time_num
Franciscan Monastery Museum Fojnica,fojnica,"Home to the Ahdnama, a 15th-century document granting religious freedom to Franciscans.",museum,Medieval/Ottoman,43.9575,17.9022,"monastery, history, Ahdnama, Fojnica",All year,1.5 hours,B,"The Ahdnama is one of the oldest human rights documents in the Balkans, issued by Mehmed the Conqueror.",https://en.wikipedia.org/wiki/Fojnica_Franciscan_Monastery,2,1,1,1,1,Multi-Era,Central Bosnia,"['museum', 'history', 'religious']",1.5
Museum of Old Orthodox Church,sarajevo,A 16th-century church containing a world-class collection of icons and liturgical objects.,religious,Ottoman,43.8603,18.4308,"church, Orthodox, icons, Sarajevo, history",All year,1 hour,B,"The church is unique for its architectural plan, which is much wider than it is long.","https://en.wikipedia.org/wiki/Old_Orthodox_Church,_Sarajevo",2,1,1,1,1,Ottoman,Sarajevo Region,"['religious', 'history']",1.0
Bijambare Caves and Park,ilijaš,A protected landscape featuring five caves and high mountain meadows.,nature,Ancient,44.0911,18.5022,"caves, nature, park, hiking, Sarajevo",Spring-Autumn,2-3 hours,B,"The 'Main Cave' is known for its incredible natural acoustics, often called the Music Hall.",https://meetbosnia.com/bijambare-caves-protected-landscape/,2,1,1,1,0,Other,Central Bosnia,['nature'],2.5
Stara Pravoslavna Crkva,mostar,"A 19th-century Orthodox church overlooking the city, rebuilt after being destroyed in 1992.",religious,Austro-Hungarian,43.3428,17.8189,"church, Orthodox, Mostar, view",All year,45 min,B,The original church was a symbol of Mostar’s multicultural landscape before the war.,https://en.wikipedia.org/wiki/Mostar,2,1,1,1,1,Modern,Herzegovina,['religious'],0.75
Andrićgrad (Višegrad),višegrad,"A cultural complex dedicated to Ivo Andrić, designed by filmmaker Emir Kusturica.",traditional village,Modern,43.7856,19.2922,"architecture, cinema, Andrić, Drina, tourism",All year,2 hours,A,The 'city' is built from stone to resemble a medieval town that never actually existed.,https://en.wikipedia.org/wiki/Andrićgrad,3,1,1,1,1,Modern,Eastern Bosnia,['traditional village'],2.0
Musić-begovina House,stolac,An architectural complex representing the lifestyle of the Musić family in the 19th century.,monument,Ottoman,43.0842,17.9603,"nobility, Stolac, architecture, heritage",Spring-Summer,1 hour,C,The house is a key example of the Mediterranean-influenced Ottoman residential style.,http://kons.gov.ba/,1,1,1,0,0,Ottoman,Herzegovina,"['monument', 'history']",1.0
Stećci Necropolis Bijača,ljubuški,A small but significant necropolis of medieval tombstones near the border with Croatia.,monument,Medieval,43.1256,17.5542,"stećci, Ljubuški, UNESCO, history",All year,45 min,C,It is one of the 28 sites inscribed on the UNESCO World Heritage list of Stećci.,https://whc.unesco.org/en/list/1504,1,1,1,1,1,Medieval,Herzegovina,"['monument', 'history']",0.75
Fortress of Bočac,mrkonjić grad,Ruins of a medieval fortress perched on a cliff above the Vrbas river canyon.,fortress,Medieval,44.5167,17.1667,"castle, Vrbas, canyon, hiking, ruins",Spring-Autumn,1 hour,C,The fortress guarded the strategic crossing of the Vrbas river toward the south.,https://en.wikipedia.org/wiki/Bočac_Fortress,1,1,1,1,0,Medieval,Central Bosnia,"['fortress', 'nature']",1.0
Museum of Woodcarving,konjic,"The Mulić’s Record museum, keeping the UNESCO-protected woodcarving tradition alive.",museum,Modern,43.6525,17.9628,"woodcarving, UNESCO, Konjic, crafts",All year,1 hour,B,Konjic woodcarving was officially inscribed on the UNESCO Intangible Cultural Heritage list in 2017.,https://ich.unesco.org/en/RL/konjic-woodcarving-01288,2,1,1,1,1,Modern,Herzegovina,['museum'],1.0
Pocitelj Sahat-kula (Clock Tower),počitelj,The stone clock tower that dominates the skyline of the historic town of Počitelj.,monument,Ottoman,43.1347,17.7322,"tower, Počitelj, view, landmark",All year,30 min,A,"Unlike most Bosnian clock towers, this one does not have a clock face, as bells were used to tell time.",https://en.wikipedia.org/wiki/Počitelj,3,1,1,1,1,Ottoman,Herzegovina,"['monument', 'fortress']",0.5
Hamam in Stolac,stolac,"The remains of a 16th-century public bathhouse, showcasing Ottoman hydraulic engineering.",monument,Ottoman,43.0839,17.9594,"bath, Stolac, architecture, engineering",Spring-Summer,30 min,C,The Silahdar Husein-pasha hamam is one of the few preserved public baths in Herzegovina.,http://kons.gov.ba/,1,1,1,0,0,Ottoman,Herzegovina,['monument'],0.5
Despić House,sarajevo,"A house belonging to a wealthy Orthodox family, showcasing the birth of theater in the city.",museum,Ottoman/Austro-Hungarian,43.8581,18.4272,"theater, history, Sarajevo, traditional",All year,1 hour,B,The first theater performances in Sarajevo were held in the large hall of this house.,https://en.wikipedia.org/wiki/Despić_House,2,1,1,1,1,Multi-Era,Sarajevo Region,"['museum', 'history']",1.0
Hadži Ali-bey Mosque,travnik,"A unique mosque in Travnik with a sundial on its wall, still functional today.",religious,Ottoman,44.2275,17.6681,"mosque, sundial, Travnik, history",All year,30 min,B,It is the only mosque in Bosnia and Herzegovina that possesses a functional vertical sundial.,https://en.wikipedia.org/wiki/Travnik,2,1,1,1,1,Ottoman,Central Bosnia,"['religious', 'history']",0.5
Svrzo's House,sarajevo,The most preserved example of a wealthy Ottoman-style merchant house in Sarajevo.,museum,Ottoman,43.8614,18.43,"house, museum, Sarajevo, lifestyle",All year,1 hour,A,The house is divided into 'Selamluk' (public area) and 'Haremluk' (private family area).,https://en.wikipedia.org/wiki/Svrzo's_House,3,1,1,1,1,Ottoman,Sarajevo Region,['museum'],1.0
Muslibegović House,mostar,A national monument and luxury hotel that preserves the layout of a 19th-century noble house.,museum,Ottoman,43.3425,17.8139,"house, Mostar, heritage, luxury",All year,1 hour,B,It is often cited as one of the most beautiful examples of Ottoman residential architecture in the Balkans.,https://en.wikipedia.org/wiki/Muslibegović_House,2,1,1,1,1,Ottoman,Herzegovina,"['museum', 'history']",1.0
Trebinje Clock Tower,trebinje,An 18th-century tower built by the Hadžismatović family in the center of the Old Town.,monument,Ottoman,42.7119,18.3458,"clock tower, Trebinje, landmark, history",All year,15 min,B,The tower was built using the famous local Herzegovina limestone.,https://en.wikipedia.org/wiki/Trebinje,2,1,1,1,1,Ottoman,Herzegovina,"['monument', 'history', 'fortress']",0.25
Tvrđava Bužim,bužim,A Renaissance-style fortress and the old town of the noble Frankopan family.,fortress,Medieval/Ottoman,45.0522,16.0311,"castle, Bužim, history, border",Spring-Autumn,1 hour,C,It is one of the few fortresses in Bosnia with a clear Renaissance polygonal bastioned layout.,https://en.wikipedia.org/wiki/Bužim,1,1,1,1,0,Multi-Era,Krajina,"['fortress', 'history']",1.0
Ostrovica Castle,kulen vakuf,"A massive fortification on a hill above Kulen Vakuf, offering a bird's eye view of the Una.",fortress,Medieval,44.5622,16.0847,"castle, Una, Kulen Vakuf, viewpoint",Summer,2 hours,C,The castle was a key stronghold for the Bosnian kingdom against Hungarian expansion.,https://en.wikipedia.org/wiki/Ostrovica_Castle,1,0,1,0,0,Medieval,Krajina,['fortress'],2.0
Kraljeva Sutjeska Library,kakanj,A monastery library containing 31 incunabula (books printed before 1501).,museum,Medieval,44.1206,18.2011,"books, history, library, monastery",All year,1 hour,B,It is the most important collection of medieval and early modern books in the country.,https://en.wikipedia.org/wiki/Kraljeva_Sutjeska,2,1,1,1,1,Medieval,Central Bosnia,"['museum', 'history', 'religious']",1.0
Djevojacka Pecina (Maidens Cave),kladanj,A massive cave shelter featuring authentic prehistoric rock engravings alongside a famous local folklore legend about a brave young girl.,archaeological,Prehistoric/Medieval,44.2267,18.6833,"cave, legend, carvings, hiking, prehistoric, Kladanj, pilgrimage, art",Spring-Summer,1.5 hours,C,"Every August, thousands of people gather at this cave for a massive traditional prayer assembly rooted in century-old local customs.",https://www.atlasobscura.com/places/djevojacka-pecina-maidens-cave,1,1,1,0,0,Multi-Era,Central Bosnia,"['archaeological', 'nature']",1.5
Vraca Memorial Park,sarajevo,A WWII memorial complex built on the site of an Austro-Hungarian fortress.,monument,Yugoslavia,43.8447,18.4019,"WWII, brutalism, Sarajevo, memorial",All year,1 hour,B,"The names of over 11,000 victims of WWII are inscribed on the stone walls of the park.",https://en.wikipedia.org/wiki/Vraca_Memorial_Park,2,1,1,1,1,Modern,Sarajevo Region,['monument'],1.0
History Museum of BiH,sarajevo,"A museum focused on the 20th-century history of Bosnia, including a permanent exhibit on the Siege.",museum,Yugoslavia/Modern,43.8547,18.4008,"war, history, Sarajevo, Yugoslavia",All year,1.5 hours,B,"The museum building is a masterpiece of Yugoslav modernist architecture, despite its battle-scarred exterior.",https://en.wikipedia.org/wiki/Historical_Museum_of_Bosnia_and_Herzegovina,2,1,1,1,1,Modern,Sarajevo Region,"['museum', 'history']",1.5
Jewish Museum of Mostar,mostar,A small community-run museum located in the reconstructed synagogue of Mostar.,museum,Modern,43.3414,17.8117,"Jewish, Mostar, history, culture",All year,45 min,C,The museum tells the story of Mostar's Sephardic Jewish community which was almost wiped out in WWII.,https://en.wikipedia.org/wiki/Mostar,1,1,1,1,1,Modern,Herzegovina,"['museum', 'history']",0.75
Krusnica River Source,bosanska krupa,"A stunning karst spring flowing directly out from under a massive mountain cliff, accessible primarily by traditional wooden boat or hiking through a dense forest.",nature,Natural/Cultural,44.8611,16.1722,"river, nature, boat, Krupa, hidden, spring, source, karst, forest, canyon",Summer,2 hours,C,The water emerging from this deep underground cave source is so pure that it is bottled directly by local residents without treatment.,https://www.tripadvisor.com,1,0,1,0,0,Other,Krajina,['nature'],2.0
Old Caravan Bridge Ruins of Visegrad,visegrad,The historical archaeological remnants of an older crossing point and early caravan road structures situated near the grand Mehmed Pasa bridge.,archaeological,Ottoman,43.7831,19.2889,"ruins, history, Visegrad, Drina, bridge, Ottoman, caravan, tracks",Summer,30 min,C,Local legends state that this older crossing infrastructure was a vital node for merchant trade networks long before Mimar Sinan built the main bridge.,https://en.wikipedia.org/wiki/Višegrad,1,0,1,0,0,Ottoman,Eastern Bosnia,"['archaeological', 'history']",0.5
Sinan-Begova Mosque,čajniče,An 16th-century architectural gem known for its unique stone carvings and history.,religious,Ottoman,43.5575,19.0719,"mosque, architecture, history, Čajniče",All year,45 min,C,It was one of the most beautiful mosques in eastern Bosnia before its destruction and recent reconstruction.,http://kons.gov.ba/,1,1,1,1,1,Ottoman,Herzegovina,"['religious', 'history']",0.75
Stećci Necropolis Mramorje,perućac/višegrad,A medieval cemetery located on the banks of the Drina river.,monument,Medieval,43.9667,19.4167,"UNESCO, stećci, river, history",All year,1 hour,C,The site is part of the trans-border UNESCO protection of medieval tombstones.,https://whc.unesco.org/en/list/1504,1,1,1,1,1,Medieval,Eastern Bosnia,"['monument', 'history', 'nature']",1.0
Fortress of Ključ,ključ,A large fortress on a cliff above the Sana river where the last Bosnian king was captured.,fortress,Medieval,44.5333,16.7833,"castle, king, history, Sana",Spring-Autumn,1.5 hours,B,It was here that King Stjepan Tomašević surrendered to the Ottoman Sultan Mehmed II in 1463.,https://en.wikipedia.org/wiki/Ključ_Fortress,2,1,1,1,0,Medieval,Central Bosnia,"['fortress', 'history']",1.5
Srebrenik Fortress,srebrenik,"One of the best-preserved medieval castles in BiH, perched on a massive rock.",fortress,14th century,44.7031,18.5308,"fortress, medieval, castle",All Year,1.5 hours,B,"It was the historical seat of Ban Stjepan II Kotromanić, who issued a famous charter here in 1333.",https://en.wikipedia.org,2,1,1,1,1,Other,Northern Bosnia,"['fortress', 'history']",1.5
Ostrožac Castle,cazin,A unique castle featuring both a medieval fortress and a 19th-century Habsburg-style wing.,fortress,16th-19th century,44.9042,15.9375,"castle, architecture, habsburg",All Year,2 hours,B,It houses a unique outdoor sculpture garden within the walls.,https://en.wikipedia.org,2,1,1,1,1,Other,Krajina,"['fortress', 'history']",2.0
Štrbački Buk,bihać,The highest and most spectacular waterfall on the Una River.,nature,Unknown,44.6564,16.0111,"waterfall, una, nature",Summer,3 hours,A,Located within the Una National Park on the border with Croatia.,https://en.wikipedia.org,3,0,1,0,0,Ancient,Krajina,['nature'],3.0
Martin Brod,bihać,A complex of waterfalls and ancient watermills at the confluence of Una and Unac.,nature,Unknown,44.4897,16.1425,"waterfall, river, mills",Spring-Summer,2 hours,B,Famous for its traditional wool-washing 'natural washing machines'.,https://en.wikipedia.org,2,1,1,0,0,Ancient,Krajina,['nature'],2.0
Prokoško Lake,fojnica,A glacial lake surrounded by traditional wooden shepherd huts on Vranica mountain.,traditional village,Unknown,43.9583,17.7511,"lake, mountain, ethno",Summer,4 hours,B,Home to the endemic Triton (Triturus alpestris reiseri) salamander.,https://en.wikipedia.org,2,0,1,0,0,Ancient,Central Bosnia,"['traditional village', 'nature']",4.0
Doboj Fortress,doboj,A strategic medieval fortress guarding the Bosna river valley.,fortress,13th century,44.7333,18.0833,"fortress, gradina, history",All Year,1 hour,B,It has been destroyed and rebuilt over 20 times throughout history.,https://en.wikipedia.org/wiki/Doboj_Fortress,2,1,1,1,1,Other,Northern Bosnia,"['fortress', 'history']",1.0
Gradačac Castle,gradačac,Features the famous 'Dragon of Bosnia' tower overlooking the town.,fortress,18th century,44.8789,18.4289,"castle, ottoman, history",All Year,1.5 hours,B,"Built by Husein-kapetan Gradaščević, a leader of the Bosnian autonomy movement.",https://en.wikipedia.org/wiki/Gradačac_Castle,2,1,1,1,1,Other,Northern Bosnia,"['fortress', 'history']",1.5
Travnik Fortress,travnik,Medieval fortress in the heart of the former capital of Bosnian Viziers.,fortress,15th century,44.2289,17.6714,"viziers, fortress, history",All Year,1.5 hours,A,The only fortress in the country with a clock tower built inside.,https://en.wikipedia.org/wiki/Travnik_Fortress,3,1,1,1,1,Other,Central Bosnia,"['fortress', 'history']",1.5
Šarena Džamija,travnik,Known as the 'Painted Mosque' due to its unique floral exterior murals.,religious,16th century,44.2264,17.6667,"mosque, art, ottoman",All Year,0.5 hours,A,It is one of the very few mosques globally with a market (bezistan) inside its ground floor.,https://en.wikipedia.org/wiki/Šarena_Džamija,3,1,1,1,1,Other,Central Bosnia,"['religious', 'history']",0.5
Panonska Jezera,tuzla,"Artificial salt lakes located in the city center, unique in Europe.",nature,21st century,44.5383,18.675,"salt lake, swimming, tuzla, cevapi, Limenka",Summer,4 hours,A,The salt is pumped from natural underground deposits under the city.,https://en.wikipedia.org/wiki/Pannonian_Lakes,3,0,1,0,0,Other,Central Bosnia,['nature'],4.0
Mariastern Abbey,banja luka,Trappist monastery famous for its unique cheese production.,religious,19th century,44.8058,17.2158,"monastery, trappist, cheese",All Year,1 hour,B,It was once the only Trappist monastery in Southeastern Europe.,https://en.wikipedia.org/wiki/Mariastern_Abbey,2,1,1,1,1,Other,Northern Bosnia,['religious'],1.0
Krupa na Vrbasu,banja luka,Natural area with cascades and ancient watermills near a medieval monastery.,nature,Unknown,44.6186,17.1389,"waterfall, mills, nature",All Year,2 hours,B,Famous for its wood-shingle mills that are still operational.,https://en.wikipedia.org/wiki/Krupa_na_Vrbasu,2,1,1,1,1,Ancient,Northern Bosnia,['nature'],2.0
Zelengora Lakes,sutjeska np,A series of 8 glacial lakes known as 'Mountain Eyes'.,nature,Unknown,43.3458,18.575,"lake, hiking, nature",Summer,6 hours,C,Considered by many to be the most beautiful mountain in the Dinarides.,https://en.wikipedia.org/wiki/Zelengora,1,0,1,0,0,Ancient,Herzegovina,['nature'],6.0
Perućica Forest,sutjeska np,One of the two last remaining primeval forests in Europe.,nature,Prehistoric,43.35,18.7,"forest, nature, unesco",Summer,5 hours,B,"Includes the 75-meter high Skakavac waterfall, hidden deep in the forest.",https://en.wikipedia.org/wiki/Perućica,2,0,1,0,0,Ancient,Herzegovina,['nature'],5.0
Tvrdoš Monastery,trebinje,15th-century Orthodox monastery famous for its wine cellars.,religious,15th century,42.7164,18.2867,"monastery, wine, orthodox",All Year,1 hour,A,Built on the foundations of a 4th-century Roman church.,https://en.wikipedia.org/wiki/Tvrdoš_Monastery,3,1,1,1,1,Other,Herzegovina,['religious'],1.0
Žitomislić Monastery,mostar,One of the most important Orthodox monasteries in Herzegovina.,religious,16th century,43.2039,17.7817,"monastery, history, orthodox",All Year,1 hour,B,Known for its museum of icons and manuscripts.,https://en.wikipedia.org/wiki/Žitomislić_Monastery,2,1,1,1,1,Other,Herzegovina,"['religious', 'history']",1.0
Bliha Falls,sanski most,A stunning 56-meter waterfall where the river falls over a vertical cliff.,nature,Unknown,44.7867,16.5414,"waterfall, nature, sanski most",All Year,1 hour,B,The waterfall is also known as 'Blihin Skakavac'.,https://en.wikipedia.org/wiki/Bliha_Falls,2,1,1,1,1,Ancient,Krajina,['nature'],1.0
Hutovo Blato,čapljina,"A nature reserve and bird sanctuary, one of the largest in the Balkans.",nature,Unknown,43.05,17.7833,"birds, marsh, safari",Spring/Summer,3 hours,B,It is a major wintering ground for over 240 species of migratory birds.,https://en.wikipedia.org/wiki/Hutovo_Blato,2,1,1,0,0,Ancient,Herzegovina,"['nature', 'leisure/zoo']",3.0
Japodski Otoci,bihać,A unique eco-tourism site consisting of river islands shaped like a heart.,nature,Unknown,44.75,15.9167,"una, islands, eco",Summer,3 hours,B,Designed to resemble an ancient Japodian settlement.,https://en.wikipedia.org/wiki/Una_National_Park,2,0,1,0,0,Ancient,Krajina,['nature'],3.0
Kozara National Park,prijedor,Site of a major WWII battle and home to a monumental memorial sculpture.,monument,20th century,45.0139,16.8917,"wwii, memorial, mountain",All Year,3 hours,A,Known as the 'Green Heart of Krajina'.,https://en.wikipedia.org/wiki/Kozara_National_Park,3,1,1,1,1,Other,Northern Bosnia,"['monument', 'nature']",3.0
Hajdučka Vrata,čvrsnica,A natural stone arch formed by wind erosion on the Čvrsnica mountain.,nature,Unknown,43.6139,17.625,"hiking, nature, arch",Summer,7 hours,C,One of the most photographed natural landmarks for hikers in BiH.,https://en.wikipedia.org/wiki/Čvrsnica,1,0,1,0,0,Ancient,Herzegovina,['nature'],7.0
Maglaj Fortress,maglaj,Dominates the old town and has a unique five-sided tower.,fortress,15th century,44.545,18.1033,"fortress, ottoman, history",All Year,1 hour,C,The fortress has a rare combination of medieval and ottoman defensive styles.,https://en.wikipedia.org/wiki/Maglaj_Fortress,1,1,1,1,1,Other,Central Bosnia,"['fortress', 'history']",1.0
Ravne Tunnels,visoko,Underground tunnel labyrinth located near the Bosnian Pyramids.,archaeological,Unknown,43.9967,18.1692,"pyramid, tunnels, mystery",All Year,1.5 hours,A,Visitors claim the air in the tunnels has healing properties due to high ions.,https://en.wikipedia.org/wiki/Visoko_pyramids,3,1,1,1,1,Ancient,Central Bosnia,['archaeological'],1.5
Old Town Počitelj,počitelj,An open-air museum and historic village within a walled fortress.,archaeological,14th century,43.1333,17.7333,"ottoman, unesco, art",All Year,2 hours,A,Home to the longest-operating art colony in Southeast Europe.,https://en.wikipedia.org/wiki/Počitelj,3,1,1,1,1,Other,Herzegovina,"['archaeological', 'history']",2.0
Tito's Bunker,konjic,A massive top-secret underground atomic shelter built for the Yugoslav elite.,other heritage/leisure,20th century,43.6358,17.9942,"cold war, bunker, konjic",All Year,2 hours,A,It was one of the most expensive structures built in the former Yugoslavia.,https://en.wikipedia.org/wiki/Armijska_Ratna_Komanda_D-0,3,1,1,1,1,Other,Herzegovina,"['other heritage/leisure', 'history']",2.0
Bijambare Caves,ilijaš,A protected landscape with five caves and beautiful pine forests.,nature,Unknown,44.0833,18.5,"cave, park, forest",All Year,2.5 hours,B,The 'Middle Cave' is famous for its acoustics and is called the Music Hall.,https://en.wikipedia.org/wiki/Bijambare,2,1,1,1,1,Ancient,Central Bosnia,['nature'],2.5
Bobovac Fortress,vareš,The seat of the Bosnian kings and the site of the royal burial chapel.,fortress,14th century,44.1167,18.25,"kings, royalty, history",All Year,2 hours,B,It was the last place where the Bosnian royal crown was kept.,https://en.wikipedia.org/wiki/Bobovac,2,1,1,1,1,Other,Central Bosnia,"['fortress', 'history']",2.0
Art Gallery of BiH,sarajevo,"The oldest and most important art institution in the country, featuring over 6,000 works of art.",museum,Austro-Hungarian,43.8586,18.4231,"art, gallery, culture, Sarajevo, paintings",All year,2 hours,B,The gallery was founded just after WWII to preserve the Bosnian artistic heritage.,https://en.wikipedia.org/wiki/Art_Gallery_of_Bosnia_and_Herzegovina,2,1,1,1,1,Modern,Sarajevo Region,['museum'],2.0
Maculje Stećci Necropolis,novi travnik,A high-altitude necropolis featuring unique 'apple-shaped' tombstones.,monument,Medieval,44.1139,17.6144,"UNESCO, stećci, mountains, history",Spring-Autumn,1 hour,C,"It is situated at 1,200 meters above sea level, offering views of the Central Bosnian mountains.",https://whc.unesco.org/en/list/1504,1,1,1,1,0,Medieval,Central Bosnia,"['monument', 'history', 'nature']",1.0
Fortress of Soko Grad,gračanica/soko,The ruins of a medieval fortress that served as a strategic watchpoint in North Bosnia.,fortress,Medieval,44.75,18.3,"castle, ruins, defense, Gračanica",Spring-Summer,1 hour,C,The fortress was built on a steep limestone ridge that made it nearly impregnable.,https://en.wikipedia.org/wiki/Gračanica,1,1,1,0,0,Medieval,Northern Bosnia,['fortress'],1.0
Ljubuški Fortress (Herceg Stjepan),ljubuški,"A medieval fortress built on the Butorovica hill, later expanded by the Ottomans.",fortress,Medieval/Ottoman,43.2031,17.4439,"castle, Ljubuški, fortification, view",All year,1 hour,B,It is the only fortress in the coastal hinterland that was never fully conquered by the Venetians.,https://en.wikipedia.org/wiki/Ljubuški_Fortress,2,1,1,1,1,Multi-Era,Herzegovina,['fortress'],1.0
St. Mary’s Church & St. Luke’s Tower,jajce,"The coronation site of the last Bosnian king, later converted into a mosque and then ruined.",religious,Medieval,44.3417,17.2692,"church, tower, coronation, history, Jajce",All year,45 min,B,St. Luke’s Tower is the only preserved medieval belfry in the mainland Balkans.,https://en.wikipedia.org/wiki/Jajce,2,1,1,1,1,Medieval,Central Bosnia,"['religious', 'history', 'fortress']",0.75
Church of the Holy Virgin,čajniče,"Home to the 'Čajniče Krasnica', the only miracle-working icon of the Virgin Mary in BiH.",religious,Medieval/Ottoman,43.5572,19.0722,"Orthodox, icon, pilgrimage, history",All year,1 hour,B,The icon is believed by locals to have been painted by the Apostle Luke.,https://en.wikipedia.org/wiki/Čajniče,2,1,1,1,1,Multi-Era,Herzegovina,"['religious', 'history']",1.0
Old Bridge in Mostar (Museum),mostar,A museum located inside the Tara and Halebija towers of the Stari Most bridge.,museum,Modern,43.3375,17.8153,"Mostar, bridge, history, museum, UNESCO",All year,1 hour,A,The museum includes an underground section where you can see the original 16th-century foundations.,https://www.tripadvisor.com/Attraction_Review-g295387-d1158434,3,1,1,1,1,Modern,Herzegovina,"['museum', 'history']",1.0
Necropolis Mramorje in Musići,olovo,"A medieval cemetery with 43 tombstones, including rare gable-shaped stećci.",monument,Medieval,44.1278,18.5833,"stećci, UNESCO, Olovo, history",Spring-Autumn,45 min,C,"The site is surrounded by dense coniferous forests, typical of the Olovo region.",https://whc.unesco.org/en/list/1504,1,1,1,1,0,Medieval,Central Bosnia,"['monument', 'history']",0.75
Fortress of Glamoč,glamoč,A hilltop fortress featuring a unique circular 'Tabija' tower from the Ottoman period.,fortress,Medieval/Ottoman,44.0472,16.8494,"castle, Glamoč, fortification, remote",Spring-Autumn,1 hour,C,The fortress was a vital link in the 'Kliški Sandžak' defense line against the Venetians.,https://en.wikipedia.org/wiki/Glamoč,1,1,1,1,0,Multi-Era,Central Bosnia,['fortress'],1.0
Husein-Kapetan Gradaščević Mosque,gradačac,A large mosque built by the 'Dragon of Bosnia' near his family castle.,religious,Ottoman,44.8803,18.4289,"mosque, Gradačac, history, architecture",All year,45 min,B,"The mosque's minaret is 40 meters high, making it a landmark of the Posavina region.",https://en.wikipedia.org/wiki/Gradačac,2,1,1,1,1,Ottoman,Northern Bosnia,"['religious', 'history']",0.75
Olympic Museum,sarajevo,A museum dedicated to the 14th Winter Olympic Games held in Sarajevo in 1984.,museum,Modern,43.8592,18.4128,"Olympics, 1984, history, Sarajevo, museum",All year,1.5 hours,B,"The museum is housed in the Mandić villa, which was the first building destroyed during the 1992 siege.",https://en.wikipedia.org/wiki/Sarajevo_Olympic_Museum,2,1,1,1,1,Modern,Sarajevo Region,"['museum', 'history']",1.5
Tvrđava Soko (Šipovo),šipovo,The remains of a medieval fortress located above the canyon of the river Sokočnica.,fortress,Medieval,44.2833,17.0833,"castle, canyon, nature, Šipovo",Spring-Summer,1 hour,C,The fortress is mentioned in historical documents as early as 1363.,https://en.wikipedia.org/wiki/Šipovo,1,1,1,0,0,Medieval,Central Bosnia,"['fortress', 'nature']",1.0
Brusa Bezistan,sarajevo,"A 16th-century covered market built by Rustem-pasha, now housing part of the Sarajevo Museum.",museum,Ottoman,43.8594,18.43,"bazaar, market, history, Sarajevo, museum",All year,1 hour,A,"The building features six large and two small domes, a classic example of Ottoman trade architecture.",https://en.wikipedia.org/wiki/Brusa_Bezistan,3,1,1,1,1,Ottoman,Sarajevo Region,"['museum', 'history', 'urban heritage']",1.0
Franciscan Monastery Kraljeva Sutjeska,kakanj,"A spiritual and cultural center for centuries, holding the archives of the Bosnian state.",religious,Medieval,44.1206,18.2014,"monastery, history, archive, Catholic",All year,2 hours,B,"It houses the oldest painting in Bosnia, 'The Adoration of the Magi' from the 15th century.",https://en.wikipedia.org/wiki/Kraljeva_Sutjeska,2,1,1,1,1,Medieval,Central Bosnia,"['religious', 'history']",2.0
Hadzi-Beg Fortress (Hutovo),hutovo/neum,"The only major historical fortress complex in the Neum hinterland, featuring stone towers and defensive ramparts once ruled by the fiercely independent captain Hadzi-Beg.",fortress,Ottoman,42.9478,17.7889,"castle, fortress, Neum, history, coastal, Ottoman, towers, ramparts, Hutovo",Spring-Summer,1 hour,C,"Hadzi-Beg was legendary for his semi-autonomous rule and his stubborn, frequent military conflicts with the Ottoman Vizier of Travnik.",https://en.wikipedia.org/wiki/Hutovo_fortress,1,1,1,0,0,Ottoman,Herzegovina,"['fortress', 'history']",1.0
Mehmed-Beg Kapetanović Tower,ljubuški,A 19th-century residential tower built for the local captain and nobleman.,monument,Ottoman,43.1972,17.4472,"tower, noble, history, Ljubuški",Spring-Autumn,30 min,C,The tower is a rare surviving example of a fortified residential 'kula' in the Herzegovina region.,http://kons.gov.ba/,1,1,1,1,0,Ottoman,Herzegovina,"['monument', 'history', 'fortress']",0.5
Stećci Necropolis Kalufi,nevesinje,"The largest necropolis of stećci in Bosnia and Herzegovina, with 452 tombstones.",monument,Medieval,43.25,18.1167,"stećci, Nevesinje, history, heritage",Spring-Autumn,1.5 hours,C,"Despite its size, this necropolis is rarely visited due to its remote mountain location.",https://whc.unesco.org/en/list/1504,1,1,1,1,0,Medieval,Herzegovina,"['monument', 'history']",1.5
Fortress of Prozor,prozor-rama,The ruins of a medieval fortress that guarded the passage between Central Bosnia and Herzegovina.,fortress,Medieval,43.8208,17.6083,"castle, Prozor, ruins, history",Spring-Autumn,1 hour,C,It was a strategic stronghold for the Kotromanić royal dynasty.,https://en.wikipedia.org/wiki/Prozor-Rama,1,1,1,1,0,Medieval,Central Bosnia,"['fortress', 'history']",1.0
Gazi Husrev-beg Library,sarajevo,"One of the oldest libraries in Europe, housing over 10,000 Islamic manuscripts.",museum,Ottoman,43.8594,18.4297,"books, library, manuscripts, Sarajevo, history",All year,1 hour,B,The library's collection was saved during the 1990s war by people hiding books in private homes.,https://en.wikipedia.org/wiki/Gazi_Husrev-beg_Library,2,1,1,1,1,Ottoman,Sarajevo Region,"['museum', 'history']",1.0
Museum of the Second Session of AVNOJ,jajce,The museum dedicated to the 1943 meeting where the federal state of Yugoslavia was designed.,museum,Yugoslavia,44.3397,17.2711,"Yugoslavia, WWII, partisans, Jajce, history",All year,1 hour,B,The museum preserves the original chairs and tables used by the delegates during the 1943 meeting.,https://en.wikipedia.org/wiki/Jajce,2,1,1,1,1,Modern,Central Bosnia,"['museum', 'history']",1.0
